fips,date,year,month,day_of_week,d_date
2.0,2021-03-07,2021,3,6,20210307
1.0,2021-03-07,2021,3,6,20210307
5.0,2021-03-07,2021,3,6,20210307
60.0,2021-03-07,2021,3,6,20210307
4.0,2021-03-07,2021,3,6,20210307
6.0,2021-03-07,2021,3,6,20210307
8.0,2021-03-07,2021,3,6,20210307
9.0,2021-03-07,2021,3,6,20210307
11.0,2021-03-07,2021,3,6,20210307
10.0,2021-03-07,2021,3,6,20210307
12.0,2021-03-07,2021,3,6,20210307
13.0,2021-03-07,2021,3,6,20210307
66.0,2021-03-07,2021,3,6,20210307
15.0,2021-03-07,2021,3,6,20210307
19.0,2021-03-07,2021,3,6,20210307
16.0,2021-03-07,2021,3,6,20210307
17.0,2021-03-07,2021,3,6,20210307
18.0,2021-03-07,2021,3,6,20210307
20.0,2021-03-07,2021,3,6,20210307
21.0,2021-03-07,2021,3,6,20210307
22.0,2021-03-07,2021,3,6,20210307
25.0,2021-03-07,2021,3,6,20210307
24.0,2021-03-07,2021,3,6,20210307
23.0,2021-03-07,2021,3,6,20210307
26.0,2021-03-07,2021,3,6,20210307
27.0,2021-03-07,2021,3,6,20210307
29.0,2021-03-07,2021,3,6,20210307
69.0,2021-03-07,2021,3,6,20210307
28.0,2021-03-07,2021,3,6,20210307
30.0,2021-03-07,2021,3,6,20210307
37.0,2021-03-07,2021,3,6,20210307
38.0,2021-03-07,2021,3,6,20210307
31.0,2021-03-07,2021,3,6,20210307
33.0,2021-03-07,2021,3,6,20210307
34.0,2021-03-07,2021,3,6,20210307
35.0,2021-03-07,2021,3,6,20210307
32.0,2021-03-07,2021,3,6,20210307
36.0,2021-03-07,2021,3,6,20210307
39.0,2021-03-07,2021,3,6,20210307
40.0,2021-03-07,2021,3,6,20210307
41.0,2021-03-07,2021,3,6,20210307
42.0,2021-03-07,2021,3,6,20210307
72.0,2021-03-07,2021,3,6,20210307
44.0,2021-03-07,2021,3,6,20210307
45.0,2021-03-07,2021,3,6,20210307
46.0,2021-03-07,2021,3,6,20210307
47.0,2021-03-07,2021,3,6,20210307
48.0,2021-03-07,2021,3,6,20210307
49.0,2021-03-07,2021,3,6,20210307
51.0,2021-03-07,2021,3,6,20210307
78.0,2021-03-07,2021,3,6,20210307
50.0,2021-03-07,2021,3,6,20210307
53.0,2021-03-07,2021,3,6,20210307
55.0,2021-03-07,2021,3,6,20210307
54.0,2021-03-07,2021,3,6,20210307
56.0,2021-03-07,2021,3,6,20210307
2.0,2021-03-06,2021,3,5,20210306
1.0,2021-03-06,2021,3,5,20210306
5.0,2021-03-06,2021,3,5,20210306
