,fips,state_name,latitude,longtitude,hq_address,hospital_name,hospital_type,hq_city,hq_state
0,4013,Arizona,33.49549780000007,-112.06615689999995,650 E Indian School Rd,Phoenix VA Health Care System (AKA Carl T Hayden VA Medical Center),VA Hospital,Phoenix,AZ
1,4019,Arizona,32.181263400000034,-110.96588519999996,3601 S 6th Ave,Southern Arizona VA Health Care System,VA Hospital,Tucson,AZ
2,6019,California,36.77332350000006,-119.77974209999996,2615 E Clinton Ave,VA Central California Health Care System,VA Hospital,Fresno,CA
3,9009,Connecticut,41.28440040000004,-72.95761029999994,950 Campbell Ave,VA Connecticut Healthcare System - West Haven Campus (AKA West Haven VA Medical Center),VA Hospital,West Haven,CT
4,10003,Delaware,39.74020630000007,-75.60653249999996,1601 Kirkwood Hwy,Wilmington VA Medical Center,VA Hospital,Wilmington,DE
5,11001,District of Columbia,38.93068230000006,-77.01119479999994,50 Irving St Nw,Washington DC VA Medical Center,VA Hospital,Washington,DC
6,12001,Florida,29.636988900000063,-82.345254,1601 Sw Archer Rd,North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center,VA Hospital,Gainesville,FL
7,16001,Idaho,43.621035,-116.1901845,500 W Fort St,Boise VA Medical Center,VA Hospital,Boise,ID
8,22017,Louisiana,32.50310080000003,-93.72168259999997,510 E Stoner Ave,Overton Brooks VA Medical Center,VA Hospital,Shreveport,LA
9,28121,Mississippi,32.32548710000003,-90.10530849999998,1030 River Oaks Dr,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Short Term Acute Care Hospital,Flowood,MS
10,29019,Missouri,38.93723540000008,-92.32884869999998,800 Hospital Dr,Harry S Truman Memorial Veterans Hospital,VA Hospital,Columbia,MO
11,35001,New Mexico,35.055193100000054,-106.5816425,1501 San Pedro Dr Se,New Mexico VA Health Care System - Raymond G Murphy VA Medical Center,VA Hospital,Albuquerque,NM
12,36001,New York,42.649612700000034,-73.77444039999995,113 Holland Ave,Albany Stratton VA Medical Center,VA Hospital,Albany,NY
13,36005,New York,40.86740320000007,-73.90640459999997,130 W Kingsbridge Rd,James J Peters VA Medical Center,VA Hospital,Bronx,NY
14,38017,North Dakota,46.90593280000007,-96.77453,2101 Elm St N,Fargo VA Health Care System,VA Hospital,Fargo,ND
15,41019,Oregon,43.22706920000008,-123.36505739999996,913 Nw Garden Valley Blvd,Roseburg VA Health Care System,VA Hospital,Roseburg,OR
16,42003,Pennsylvania,40.44626610000006,-79.96080739999996,4100 Allequippa St,VA Pittsburgh Healthcare System - University Drive,VA Hospital,Pittsburgh,PA
17,1001,Alabama,32.463778,-86.451938,124 S Memorial Dr,Prattville Baptist Hospital,Short Term Acute Care Hospital,Prattville,AL
18,1003,Alabama,30.51902650000005,-87.88830669999999,750 Morphy Ave,Thomas Hospital,Short Term Acute Care Hospital,Fairhope,AL
19,1003,Alabama,30.903945,-87.785172,1815 Hand Ave,North Baldwin Infirmary,Short Term Acute Care Hospital,Bay Minette,AL
20,1005,Alabama,31.88876410000006,-85.15635649999996,820 W Washington St,Medical Center Barbour,Short Term Acute Care Hospital,Eufaula,AL
21,1007,Alabama,32.95122340000006,-87.14813359999994,208 Pierson Ave,Bibb Medical Center,Short Term Acute Care Hospital,Centreville,AL
22,1009,Alabama,33.933302800000035,-86.49499529999997,150 Gilbreath Dr,St Vincents Blount,Critical Access Hospital,Oneonta,AL
23,1011,Alabama,32.146119,-85.713048,102 Conecuh Ave W,Bullock County Hospital,Short Term Acute Care Hospital,Union Springs,AL
24,1013,Alabama,31.829093900000032,-86.64627,29 L V Stabler Dr,Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital),Short Term Acute Care Hospital,Greenville,AL
25,1015,Alabama,33.6676,-85.825,301 E 18th St,Stringfellow Memorial Hospital,Short Term Acute Care Hospital,Anniston,AL
26,1015,Alabama,33.65639530000004,-85.82283519999999,400 E 10th St,Regional Medical Center Anniston (FKA Northeast Alabama Regional Medical Center - Anniston),Short Term Acute Care Hospital,Anniston,AL
27,1017,Alabama,32.82464780000004,-85.16859339999996,4800 48th St,East Alabama Medical Center - Lanier,Short Term Acute Care Hospital,Valley,AL
28,1019,Alabama,34.1627,-85.6513,400 Northwood Dr,Cherokee Medical Center,Short Term Acute Care Hospital,Centre,AL
29,1025,Alabama,31.694274902000075,-87.77594757099996,295 S Jackson St,Grove Hill Memorial Hospital,Short Term Acute Care Hospital,Grove Hill,AL
30,1025,Alabama,31.53119470000007,-87.895053,220 Hospital Dr,Jackson Medical Center,Short Term Acute Care Hospital,Jackson,AL
31,1027,Alabama,33.27714720000006,-85.823822,83825 Highway 9,Clay County Hospital,Short Term Acute Care Hospital,Ashland,AL
32,1031,Alabama,31.318647,-85.855114,400 N Edwards St,Medical Center Enterprise,Short Term Acute Care Hospital,Enterprise,AL
33,1033,Alabama,34.744969,-87.675383,201 W Avalon Ave,North Alabama Shoals Hospital (FKA Shoals Hospital),Short Term Acute Care Hospital,Muscle Shoals,AL
34,1035,Alabama,31.43097810000006,-86.94082129999998,101 Crestview Ave,Evergreen Medical Center,Short Term Acute Care Hospital,Evergreen,AL
35,1039,Alabama,31.296297800000048,-86.49476239999996,849 S Three Notch St,Andalusia Regional Hospital (AKA Andalusia Health),Short Term Acute Care Hospital,Andalusia,AL
36,1039,Alabama,31.291985200000056,-86.25420619999994,702 N Main St,Mizell Memorial Hospital,Short Term Acute Care Hospital,Opp,AL
37,1041,Alabama,31.69335290000004,-86.26509409999994,101 Hospital Dr,Crenshaw Community Hospital,Short Term Acute Care Hospital,Luverne,AL
38,1043,Alabama,34.20758660000007,-86.87485309999994,1912 Alabama Hwy 157,Cullman Regional Medical Center,Short Term Acute Care Hospital,Cullman,AL
39,1045,Alabama,31.451328,-85.632075,126 Hospital Ave,Dale Medical Center,Short Term Acute Care Hospital,Ozark,AL
40,1047,Alabama,32.42927220000007,-87.056025,1015 Medical Center Pkwy,Vaughan Regional Medical Center,Short Term Acute Care Hospital,Selma,AL
41,1049,Alabama,34.441975300000024,-85.75501379999997,200 Medical Center Dr,Dekalb Regional Medical Center,Short Term Acute Care Hospital,Fort Payne,AL
42,1051,Alabama,32.534053,-85.912363,805 Friendship Rd,Community Hospital,Short Term Acute Care Hospital,Tallassee,AL
43,1051,Alabama,32.55237870000008,-86.18666969999998,500 Hospital Dr,Elmore Community Hospital,Short Term Acute Care Hospital,Wetumpka,AL
44,1053,Alabama,31.1249,-87.0712,1301 Belleville Ave,DW McMillan Memorial Hospital,Short Term Acute Care Hospital,Brewton,AL
45,1053,Alabama,31.016625300000044,-87.47634889999995,401 Medical Park Dr,Atmore Community Hospital,Short Term Acute Care Hospital,Atmore,AL
46,1055,Alabama,34.00740220000006,-85.96757189999994,1007 Goodyear Ave,Gadsden Regional Medical Center,Short Term Acute Care Hospital,Gadsden,AL
47,1055,Alabama,34.004403,-86.003626,600 S 3rd St,Riverview Regional Medical Center,Short Term Acute Care Hospital,Gadsden,AL
48,1057,Alabama,33.70802660000004,-87.82421789999995,1653 Temple Ave N,Fayette Medical Center (FKA Weimer Medical Center),Short Term Acute Care Hospital,Fayette,AL
49,1059,Alabama,34.51077260000005,-87.71834709999996,15155 Highway 43,Russellville Hospital,Short Term Acute Care Hospital,Russellville,AL
50,1059,Alabama,34.4575,-88.1477,211 Hospital Rd,Red Bay Hospital,Critical Access Hospital,Red Bay,AL
