fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalizedcurrently,hospitalized,hospitalizeddischarged
20898,Anhui,China,324925,13975,85072,164051,20210119,289939,142083,1066.0,34164,47809
43873,Beijing,China,27116,16661,264861,88989,20210119,289939,256245,1066.0,42843,35583
7038,Chongqing,China,329848,23836,171482,16829,20210119,289939,110169,1066.0,29984,6277
6244,Fujian,China,96129,11412,15218,180862,20210119,289939,329528,1066.0,48779,18356
18635,Gansu,China,161782,20720,262249,53119,20210119,289939,229942,1066.0,27340,46453
37683,Guangdong,China,274906,15997,290385,13103,20210119,289939,215139,1066.0,43684,43032
27257,Guangxi,China,93577,15747,289855,102745,20210119,289939,213527,1066.0,48823,6603
35725,Guizhou,China,110030,12634,34907,190562,20210119,289939,226171,1066.0,7091,70141
22657,Hai,China,92426,15391,125496,229435,20210119,289939,340546,1066.0,78436,59263
547,Hebei,China,145956,27139,133316,128062,20210119,289939,153490,1066.0,83247,27517
22306,Heilongjiang,China,317310,17431,71669,111461,20210119,289939,87805,1066.0,45456,8634
9682,He,China,151983,36357,254525,129750,20210119,289939,108706,1066.0,46424,33549
30806,Hong Kong,Hong Kong,200115,11737,130057,175924,20210119,289939,253413,1066.0,24534,78067
2572,Hubei,China,14120,20348,103218,227368,20210119,289939,85735,1066.0,4798,26419
9968,Hu,China,55685,32685,219153,110091,20210119,289939,65650,1066.0,12369,34787
3551,Inner Mongolia,China,86453,11555,239979,59902,20210119,289939,175618,1066.0,79541,16389
48533,Jiangsu,China,310914,36209,239150,196126,20210119,289939,293874,1066.0,10233,67182
44969,Jiangxi,China,130584,2354,243037,197442,20210119,289939,226691,1066.0,85161,54139
41047,Jilin,China,12691,21290,38722,79745,20210119,289939,110054,1066.0,44811,63665
1652,Liaoning,China,355186,18927,222459,108469,20210119,289939,340593,1066.0,29519,36415
10772,Macau,Macau,51689,92,248303,138896,20210119,289939,282549,1066.0,40245,71681
14965,Ningxia,China,320976,11744,128501,123834,20210119,289939,331134,1066.0,75641,67545
24425,Qinghai,China,212738,667,199972,73928,20210119,289939,198969,1066.0,60104,43316
49370,Shaanxi,China,206738,16942,278573,175421,20210119,289939,204507,1066.0,67027,28704
44366,Shandong,China,315557,23973,213687,159281,20210119,289939,257714,1066.0,67272,62919
13754,Shanghai,China,73410,6466,45380,223000,20210119,289939,299894,1066.0,69020,55698
323,Shanxi,China,201369,12785,214437,164872,20210119,289939,195547,1066.0,4695,32572
29904,Sichuan,China,230902,13856,17781,38547,20210119,289939,158158,1066.0,64499,9042
12148,Taiwan,Taiwan,347835,35583,30952,100433,20210119,289939,252062,1066.0,60161,30470
25045,Tianjin,China,277986,10085,65930,109068,20210119,289939,251909,1066.0,87130,57945
